time,temperature_2m,wind_speed_10m,shortwave_radiation
2020-01-01T00:00,6.0,6.1,0.0
2020-01-01T01:00,5.8,6.6,0.0
2020-01-01T02:00,5.2,5.1,0.0
2020-01-01T03:00,5.2,4.0,0.0
2020-01-01T04:00,4.7,6.5,0.0
2020-01-01T05:00,4.6,6.3,0.0
2020-01-01T06:00,4.4,5.2,0.0
2020-01-01T07:00,5.0,7.6,0.0
2020-01-01T08:00,5.4,9.1,5.0
2020-01-01T09:00,6.5,8.2,46.0
2020-01-01T10:00,7.7,6.5,97.0
2020-01-01T11:00,8.9,5.6,190.0
2020-01-01T12:00,9.6,1.6,304.0
2020-01-01T13:00,10.1,1.1,264.0
2020-01-01T14:00,10.4,3.4,259.0
2020-01-01T15:00,9.9,4.4,160.0
2020-01-01T16:00,8.6,5.4,51.0
2020-01-01T17:00,7.1,7.6,4.0
2020-01-01T18:00,6.4,7.6,0.0
2020-01-01T19:00,5.8,5.8,0.0
2020-01-01T20:00,4.1,7.0,0.0
2020-01-01T21:00,3.4,6.4,0.0
2020-01-01T22:00,3.2,5.4,0.0
2020-01-01T23:00,2.2,7.1,0.0
2020-01-02T00:00,2.2,5.5,0.0
2020-01-02T01:00,2.4,6.6,0.0
2020-01-02T02:00,2.7,7.5,0.0
2020-01-02T03:00,2.8,6.9,0.0
2020-01-02T04:00,2.5,7.4,0.0
2020-01-02T05:00,2.2,7.4,0.0
2020-01-02T06:00,2.4,7.9,0.0
2020-01-02T07:00,2.2,8.7,0.0
2020-01-02T08:00,2.5,10.8,6.0
2020-01-02T09:00,3.8,10.9,84.0
2020-01-02T10:00,6.2,11.9,235.0
2020-01-02T11:00,8.4,12.2,333.0
2020-01-02T12:00,9.2,13.9,387.0
2020-01-02T13:00,10.1,13.9,376.0
2020-01-02T14:00,10.1,13.4,286.0
2020-01-02T15:00,9.8,12.9,191.0
2020-01-02T16:00,8.4,12.9,78.0
2020-01-02T17:00,7.2,15.1,5.0
2020-01-02T18:00,6.4,15.8,0.0
2020-01-02T19:00,6.0,14.7,0.0
2020-01-02T20:00,5.7,12.5,0.0
2020-01-02T21:00,5.2,10.2,0.0
2020-01-02T22:00,5.1,9.2,0.0
2020-01-02T23:00,5.3,10.3,0.0
2020-01-03T00:00,4.8,7.1,0.0
2020-01-03T01:00,4.6,5.2,0.0
2020-01-03T02:00,4.6,5.0,0.0
2020-01-03T03:00,4.4,3.9,0.0
2020-01-03T04:00,3.6,6.2,0.0
2020-01-03T05:00,3.3,9.1,0.0
2020-01-03T06:00,3.7,9.4,0.0
2020-01-03T07:00,4.6,9.8,0.0
2020-01-03T08:00,5.7,9.7,5.0
2020-01-03T09:00,7.1,10.2,49.0
2020-01-03T10:00,7.7,8.1,110.0
2020-01-03T11:00,8.6,6.5,194.0
2020-01-03T12:00,9.3,6.3,277.0
2020-01-03T13:00,9.8,5.7,234.0
2020-01-03T14:00,9.8,6.3,172.0
2020-01-03T15:00,9.6,3.6,98.0
2020-01-03T16:00,8.9,2.8,28.0
2020-01-03T17:00,8.6,4.7,2.0
2020-01-03T18:00,8.6,6.4,0.0
2020-01-03T19:00,8.4,8.0,0.0
2020-01-03T20:00,8.4,11.5,0.0
2020-01-03T21:00,8.3,11.9,0.0
2020-01-03T22:00,8.1,12.3,0.0
2020-01-03T23:00,7.8,11.5,0.0
2020-01-04T00:00,7.8,10.4,0.0
2020-01-04T01:00,7.1,9.6,0.0
2020-01-04T02:00,6.4,9.0,0.0
2020-01-04T03:00,6.3,10.2,0.0
2020-01-04T04:00,6.4,11.3,0.0
2020-01-04T05:00,7.2,11.8,0.0
2020-01-04T06:00,7.7,11.9,0.0
2020-01-04T07:00,8.0,11.2,0.0
2020-01-04T08:00,8.1,11.1,2.0
2020-01-04T09:00,8.4,10.9,26.0
2020-01-04T10:00,8.7,11.4,52.0
2020-01-04T11:00,9.3,11.4,138.0
2020-01-04T12:00,9.2,11.0,198.0
2020-01-04T13:00,9.6,11.5,218.0
