time,temperature_2m,wind_speed_10m,shortwave_radiation
2020-01-01T00:00,7.9,11.0,0.0
2020-01-01T01:00,8.1,11.4,0.0
2020-01-01T02:00,8.5,12.0,0.0
2020-01-01T03:00,9.1,10.9,0.0
2020-01-01T04:00,9.2,10.8,0.0
2020-01-01T05:00,9.3,10.2,0.0
2020-01-01T06:00,9.2,10.9,0.0
2020-01-01T07:00,9.2,10.9,0.0
2020-01-01T08:00,9.0,9.1,0.0
2020-01-01T09:00,9.4,8.4,28.0
2020-01-01T10:00,9.9,9.7,49.0
2020-01-01T11:00,10.4,10.5,35.0
2020-01-01T12:00,10.2,9.0,71.0
2020-01-01T13:00,10.3,8.4,46.0
2020-01-01T14:00,10.4,7.5,53.0
2020-01-01T15:00,10.2,6.6,28.0
2020-01-01T16:00,10.1,6.1,20.0
2020-01-01T17:00,9.8,7.4,1.0
2020-01-01T18:00,9.6,8.9,0.0
2020-01-01T19:00,9.4,7.4,0.0
2020-01-01T20:00,9.4,5.8,0.0
2020-01-01T21:00,9.2,5.1,0.0
2020-01-01T22:00,8.8,4.1,0.0
2020-01-01T23:00,8.5,2.9,0.0
2020-01-02T00:00,9.4,7.7,0.0
2020-01-02T01:00,9.5,8.0,0.0
2020-01-02T02:00,9.0,4.3,0.0
2020-01-02T03:00,8.9,8.6,0.0
2020-01-02T04:00,9.4,10.9,0.0
2020-01-02T05:00,9.4,9.4,0.0
2020-01-02T06:00,8.9,8.7,0.0
2020-01-02T07:00,8.3,8.9,0.0
2020-01-02T08:00,8.1,9.0,0.0
2020-01-02T09:00,8.8,10.0,19.0
2020-01-02T10:00,9.6,13.0,45.0
2020-01-02T11:00,10.4,13.1,118.0
2020-01-02T12:00,11.4,13.8,136.0
2020-01-02T13:00,11.6,18.5,134.0
2020-01-02T14:00,11.5,16.0,108.0
2020-01-02T15:00,11.4,16.7,95.0
2020-01-02T16:00,10.9,16.6,34.0
2020-01-02T17:00,10.6,17.4,2.0
2020-01-02T18:00,10.4,17.5,0.0
2020-01-02T19:00,10.1,18.5,0.0
2020-01-02T20:00,10.1,18.8,0.0
2020-01-02T21:00,10.2,18.4,0.0
2020-01-02T22:00,10.4,18.9,0.0
2020-01-02T23:00,10.8,20.4,0.0
2020-01-03T00:00,11.2,20.6,0.0
2020-01-03T01:00,11.4,22.7,0.0
2020-01-03T02:00,11.4,24.2,0.0
2020-01-03T03:00,11.6,25.6,0.0
2020-01-03T04:00,11.8,23.7,0.0
2020-01-03T05:00,11.2,19.2,0.0
2020-01-03T06:00,10.7,17.7,0.0
2020-01-03T07:00,10.7,17.5,0.0
2020-01-03T08:00,10.4,17.6,0.0
2020-01-03T09:00,10.6,17.9,33.0
2020-01-03T10:00,11.4,22.8,117.0
2020-01-03T11:00,11.9,20.2,184.0
2020-01-03T12:00,11.2,19.6,77.0
2020-01-03T13:00,11.2,17.9,62.0
2020-01-03T14:00,11.2,14.1,48.0
2020-01-03T15:00,11.1,11.5,40.0
2020-01-03T16:00,10.9,11.1,42.0
2020-01-03T17:00,10.6,13.6,3.0
2020-01-03T18:00,10.1,14.8,0.0
2020-01-03T19:00,9.6,13.7,0.0
2020-01-03T20:00,9.2,13.4,0.0
2020-01-03T21:00,8.7,13.1,0.0
2020-01-03T22:00,8.6,12.2,0.0
2020-01-03T23:00,8.8,12.6,0.0
2020-01-04T00:00,8.0,8.0,0.0
2020-01-04T01:00,8.1,8.6,0.0
2020-01-04T02:00,7.5,10.2,0.0
2020-01-04T03:00,6.8,9.4,0.0
2020-01-04T04:00,6.1,8.3,0.0
2020-01-04T05:00,5.3,8.3,0.0
2020-01-04T06:00,4.7,8.3,0.0
2020-01-04T07:00,4.3,8.4,0.0
2020-01-04T08:00,4.0,7.2,0.0
2020-01-04T09:00,5.2,7.9,37.0
2020-01-04T10:00,6.7,4.7,124.0
2020-01-04T11:00,8.0,3.1,191.0
2020-01-04T12:00,8.7,5.4,260.0
2020-01-04T13:00,9.0,5.4,248.0
2020-01-04T14:00,8.9,5.4,155.0
2020-01-04T15:00,8.9,7.5,108.0
2020-01-04T16:00,8.2,4.8,46.0
2020-01-04T17:00,7.3,4.7,3.0
2020-01-04T18:00,7.8,3.6,0.0
