time,temperature_2m,wind_speed_10m,shortwave_radiation
2020-01-01T00:00,-0.9,2.2,0.0
2020-01-01T01:00,-1.2,3.1,0.0
2020-01-01T02:00,-1.2,3.3,0.0
2020-01-01T03:00,-1.2,2.9,0.0
2020-01-01T04:00,-1.1,3.4,0.0
2020-01-01T05:00,-1.2,1.9,0.0
2020-01-01T06:00,-1.0,2.6,0.0
2020-01-01T07:00,-1.5,2.3,0.0
2020-01-01T08:00,-1.1,3.7,7.0
2020-01-01T09:00,-0.7,2.4,55.0
2020-01-01T10:00,0.1,2.3,122.0
2020-01-01T11:00,0.9,3.9,174.0
2020-01-01T12:00,0.7,2.4,193.0
2020-01-01T13:00,1.2,1.8,144.0
2020-01-01T14:00,1.6,1.3,134.0
2020-01-01T15:00,1.3,2.4,74.0
2020-01-01T16:00,1.4,1.5,26.0
2020-01-01T17:00,-0.1,2.5,0.0
2020-01-01T18:00,0.3,1.5,0.0
2020-01-01T19:00,1.0,2.7,0.0
2020-01-01T20:00,1.3,2.4,0.0
2020-01-01T21:00,-0.7,5.9,0.0
2020-01-01T22:00,-0.1,5.0,0.0
2020-01-01T23:00,-0.4,6.0,0.0
2020-01-02T00:00,-0.3,4.0,0.0
2020-01-02T01:00,-0.6,3.3,0.0
2020-01-02T02:00,-0.7,5.0,0.0
2020-01-02T03:00,-0.9,5.8,0.0
2020-01-02T04:00,-1.0,4.3,0.0
2020-01-02T05:00,-0.9,3.4,0.0
2020-01-02T06:00,-1.1,3.1,0.0
2020-01-02T07:00,-0.8,3.2,0.0
2020-01-02T08:00,-0.6,5.9,7.0
2020-01-02T09:00,-0.1,6.8,60.0
2020-01-02T10:00,0.8,8.4,127.0
2020-01-02T11:00,2.5,7.7,191.0
2020-01-02T12:00,1.4,5.5,291.0
2020-01-02T13:00,2.9,3.6,179.0
2020-01-02T14:00,4.9,3.9,199.0
2020-01-02T15:00,3.8,10.1,136.0
2020-01-02T16:00,4.1,12.1,50.0
2020-01-02T17:00,4.7,17.0,0.0
2020-01-02T18:00,4.9,19.1,0.0
2020-01-02T19:00,4.6,19.5,0.0
2020-01-02T20:00,4.6,19.1,0.0
2020-01-02T21:00,4.2,18.1,0.0
2020-01-02T22:00,4.1,18.1,0.0
2020-01-02T23:00,4.0,17.7,0.0
2020-01-03T00:00,4.2,13.7,0.0
2020-01-03T01:00,4.3,16.2,0.0
2020-01-03T02:00,4.7,16.3,0.0
2020-01-03T03:00,4.6,12.8,0.0
2020-01-03T04:00,4.1,9.5,0.0
2020-01-03T05:00,3.2,8.4,0.0
2020-01-03T06:00,3.2,8.0,0.0
2020-01-03T07:00,2.9,6.9,0.0
2020-01-03T08:00,3.1,6.1,6.0
2020-01-03T09:00,4.5,5.4,50.0
2020-01-03T10:00,6.3,5.1,124.0
2020-01-03T11:00,7.4,2.3,192.0
2020-01-03T12:00,7.7,1.6,246.0
2020-01-03T13:00,8.0,5.5,144.0
2020-01-03T14:00,7.6,5.8,75.0
2020-01-03T15:00,7.4,5.3,102.0
2020-01-03T16:00,6.6,2.7,13.0
2020-01-03T17:00,5.6,1.9,0.0
2020-01-03T18:00,3.7,3.4,0.0
2020-01-03T19:00,4.5,1.8,0.0
2020-01-03T20:00,4.1,0.5,0.0
2020-01-03T21:00,3.1,1.4,0.0
2020-01-03T22:00,2.2,2.2,0.0
2020-01-03T23:00,2.7,3.0,0.0
2020-01-04T00:00,4.8,2.5,0.0
2020-01-04T01:00,5.2,2.2,0.0
2020-01-04T02:00,5.0,3.3,0.0
2020-01-04T03:00,5.5,3.4,0.0
2020-01-04T04:00,5.5,5.0,0.0
2020-01-04T05:00,5.5,6.3,0.0
2020-01-04T06:00,5.7,9.2,0.0
2020-01-04T07:00,6.0,11.3,0.0
2020-01-04T08:00,6.2,15.2,7.0
2020-01-04T09:00,6.8,17.1,43.0
2020-01-04T10:00,7.0,17.2,37.0
2020-01-04T11:00,6.8,17.8,40.0
2020-01-04T12:00,7.8,18.6,64.0
2020-01-04T13:00,8.1,17.4,205.0
2020-01-04T14:00,8.1,18.9,208.0
2020-01-04T15:00,7.7,18.2,116.0
2020-01-04T16:00,6.4,16.4,39.0
2020-01-04T17:00,5.2,15.5,0.0
2020-01-04T18:00,3.8,13.8,0.0
2020-01-04T19:00,2.8,13.8,0.0
2020-01-04T20:00,2.5,14.6,0.0
2020-01-04T21:00,2.4,14.1,0.0
2020-01-04T22:00,2.2,14.2,0.0
2020-01-04T23:00,2.5,14.4,0.0
2020-01-05T00:00,2.6,15.1,0.0
2020-01-05T01:00,2.7,15.0,0.0
2020-01-05T02:00,2.4,12.4,0.0
2020-01-05T03:00,1.8,9.9,0.0
2020-01-05T04:00,2.0,9.8,0.0
2020-01-05T05:00,2.7,12.1,0.0
2020-01-05T06:00,3.2,15.3,0.0
2020-01-05T07:00,2.7,17.1,0.0
2020-01-05T08:00,2.9,16.7,11.0
2020-01-05T09:00,4.2,15.3,101.0
2020-01-05T10:00,5.3,17.8,209.0
2020-01-05T11:00,5.9,17.3,240.0
2020-01-05T12:00,6.5,16.5,298.0
2020-01-05T13:00,6.7,16.2,257.0
2020-01-05T14:00,7.1,15.6,249.0
2020-01-05T15:00,6.7,12.8,155.0
2020-01-05T16:00,5.0,9.5,48.0
2020-01-05T17:00,3.6,8.2,0.0
2020-01-05T18:00,2.8,7.9,0.0
2020-01-05T19:00,2.0,7.4,0.0
2020-01-05T20:00,0.5,6.7,0.0
2020-01-05T21:00,0.2,5.4,0.0
2020-01-05T22:00,-0.1,3.7,0.0
2020-01-05T23:00,0.6,1.1,0.0
2020-01-06T00:00,1.8,3.3,0.0
2020-01-06T01:00,0.1,3.5,0.0
2020-01-06T02:00,-1.7,4.5,0.0
2020-01-06T03:00,-1.9,3.9,0.0
2020-01-06T04:00,-2.0,2.9,0.0
2020-01-06T05:00,-1.9,3.2,0.0
2020-01-06T06:00,-1.5,5.1,0.0
2020-01-06T07:00,-1.5,5.9,0.0
2020-01-06T08:00,-1.1,6.0,8.0
2020-01-06T09:00,0.3,5.2,69.0
2020-01-06T10:00,2.9,6.5,181.0
2020-01-06T11:00,6.1,9.3,300.0
2020-01-06T12:00,7.8,9.4,348.0
2020-01-06T13:00,10.1,14.5,335.0
2020-01-06T14:00,10.1,15.1,277.0
2020-01-06T15:00,8.9,14.4,177.0
2020-01-06T16:00,7.1,14.1,58.0
2020-01-06T17:00,6.2,14.2,0.0
2020-01-06T18:00,5.3,12.0,0.0
2020-01-06T19:00,1.5,11.6,0.0
2020-01-06T20:00,0.9,10.5,0.0
2020-01-06T21:00,2.5,7.0,0.0
2020-01-06T22:00,-0.5,10.6,0.0
2020-01-06T23:00,-0.7,2.0,0.0
2020-01-07T00:00,-0.6,2.8,0.0
2020-01-07T01:00,-0.6,1.4,0.0
2020-01-07T02:00,0.4,7.6,0.0
2020-01-07T03:00,1.4,9.4,0.0
2020-01-07T04:00,1.2,5.7,0.0
2020-01-07T05:00,1.2,4.9,0.0
2020-01-07T06:00,2.1,2.0,0.0
2020-01-07T07:00,2.3,1.1,0.0
2020-01-07T08:00,2.6,3.8,4.0
2020-01-07T09:00,3.7,7.1,48.0
2020-01-07T10:00,4.9,8.2,96.0
2020-01-07T11:00,6.1,7.9,174.0
2020-01-07T12:00,6.5,5.8,216.0
2020-01-07T13:00,7.3,6.7,191.0
2020-01-07T14:00,7.0,6.6,177.0
2020-01-07T15:00,6.6,6.8,120.0
2020-01-07T16:00,4.8,5.4,43.0
2020-01-07T17:00,4.2,5.8,0.0
2020-01-07T18:00,4.7,5.9,0.0
2020-01-07T19:00,5.2,6.4,0.0
2020-01-07T20:00,5.2,8.0,0.0
2020-01-07T21:00,5.2,6.3,0.0
2020-01-07T22:00,4.6,5.6,0.0
2020-01-07T23:00,4.1,3.8,0.0
2020-01-08T00:00,4.8,2.8,0.0
2020-01-08T01:00,5.1,3.9,0.0
2020-01-08T02:00,5.1,6.9,0.0
2020-01-08T03:00,5.1,5.2,0.0
2020-01-08T04:00,5.2,3.3,0.0
2020-01-08T05:00,5.1,3.5,0.0
2020-01-08T06:00,4.7,5.4,0.0
2020-01-08T07:00,4.4,4.8,0.0
2020-01-08T08:00,4.2,3.6,5.0
2020-01-08T09:00,5.1,4.2,48.0
2020-01-08T10:00,5.8,5.7,79.0
2020-01-08T11:00,6.3,4.5,86.0
2020-01-08T12:00,7.6,6.3,81.0
2020-01-08T13:00,7.8,4.0,94.0
2020-01-08T14:00,8.1,4.4,98.0
2020-01-08T15:00,8.0,4.3,72.0
2020-01-08T16:00,6.6,5.2,38.0
2020-01-08T17:00,6.8,3.1,0.0
2020-01-08T18:00,6.7,4.5,0.0
2020-01-08T19:00,5.6,6.3,0.0
2020-01-08T20:00,5.6,6.5,0.0
2020-01-08T21:00,5.6,5.7,0.0
2020-01-08T22:00,5.5,5.1,0.0
2020-01-08T23:00,4.3,6.1,0.0
2020-01-09T00:00,5.8,7.7,0.0
