time,temperature_2m,wind_speed_10m,shortwave_radiation
2020-01-01T00:00,0.9,6.4,0.0
2020-01-01T01:00,2.7,2.5,0.0
2020-01-01T02:00,-1.0,4.7,0.0
2020-01-01T03:00,-2.1,5.9,0.0
2020-01-01T04:00,-2.4,6.6,0.0
2020-01-01T05:00,-2.5,7.3,0.0
2020-01-01T06:00,-3.0,8.4,0.0
2020-01-01T07:00,-2.8,8.0,0.0
2020-01-01T08:00,0.1,4.0,30.0
2020-01-01T09:00,3.7,2.3,148.0
2020-01-01T10:00,8.5,5.1,262.0
2020-01-01T11:00,8.9,7.2,339.0
2020-01-01T12:00,10.8,6.6,365.0
2020-01-01T13:00,9.9,6.8,340.0
2020-01-01T14:00,8.1,5.3,266.0
2020-01-01T15:00,4.4,6.1,153.0
2020-01-01T16:00,3.4,6.3,34.0
2020-01-01T17:00,0.2,9.2,0.0
2020-01-01T18:00,0.9,7.6,0.0
2020-01-01T19:00,3.1,8.0,0.0
2020-01-01T20:00,1.8,8.6,0.0
2020-01-01T21:00,-0.4,9.6,0.0
2020-01-01T22:00,-1.4,8.4,0.0
2020-01-01T23:00,-2.5,8.4,0.0
2020-01-02T00:00,-2.1,8.3,0.0
2020-01-02T01:00,-3.2,10.5,0.0
2020-01-02T02:00,-3.2,10.7,0.0
2020-01-02T03:00,-3.2,8.7,0.0
2020-01-02T04:00,-2.8,6.7,0.0
2020-01-02T05:00,-3.5,8.2,0.0
2020-01-02T06:00,-3.5,7.4,0.0
2020-01-02T07:00,-3.3,6.3,0.0
2020-01-02T08:00,-0.3,3.1,29.0
2020-01-02T09:00,2.5,4.5,143.0
2020-01-02T10:00,5.7,2.5,254.0
2020-01-02T11:00,7.4,1.1,329.0
2020-01-02T12:00,7.9,2.5,356.0
2020-01-02T13:00,8.4,1.9,334.0
2020-01-02T14:00,7.6,1.8,262.0
2020-01-02T15:00,4.7,4.9,152.0
2020-01-02T16:00,5.2,3.9,35.0
2020-01-02T17:00,5.0,2.4,0.0
2020-01-02T18:00,4.6,2.9,0.0
2020-01-02T19:00,0.7,6.1,0.0
2020-01-02T20:00,-1.4,8.3,0.0
2020-01-02T21:00,-1.5,8.3,0.0
2020-01-02T22:00,-1.2,7.6,0.0
2020-01-02T23:00,-1.4,6.2,0.0
2020-01-03T00:00,-0.9,6.7,0.0
2020-01-03T01:00,-1.5,7.7,0.0
2020-01-03T02:00,-1.4,7.0,0.0
2020-01-03T03:00,-1.3,6.1,0.0
2020-01-03T04:00,-1.4,4.7,0.0
2020-01-03T05:00,-1.2,4.7,0.0
2020-01-03T06:00,-1.0,5.4,0.0
2020-01-03T07:00,-0.8,6.5,0.0
2020-01-03T08:00,0.6,5.4,20.0
2020-01-03T09:00,3.7,5.8,106.0
2020-01-03T10:00,5.4,4.5,170.0
2020-01-03T11:00,6.7,3.6,197.0
